episode,mean_reward,episode_length,duration
1,-237.42857142857142,7,655.277375459671
2,-125.17647058823529,17,1316.985694885254
3,-125.58333333333333,24,1981.2624509334564
4,52.666666666666664,30,2597.985975265503
5,196.4857142857143,35,3229.832236766815
6,178.8139534883721,43,3851.942197084427
7,189.70833333333334,48,4509.441272497177
8,157.4909090909091,55,5128.278901100159
9,169.75409836065575,61,5777.304863214493
10,182.65151515151516,66,6361.740726709366
11,214.72857142857143,70,6978.155678510666
12,330.05479452054794,73,7539.029372215271
13,370.70512820512823,78,8177.785651445389
14,481.3170731707317,82,8752.041666030884
15,504.86046511627904,86,9374.668119430542
16,524.0444444444445,90,9953.486082077026
17,596.8709677419355,93,10565.716020822525
18,645.8125,96,11120.269727230072
